Query                Country               City                                                Org                                                                                
187.188.129.83       Mexico                Naucalpan                                           Total Play Telecomunicaciones SA De CV                                             
177.229.201.178      Mexico                San Andrés Timilpan                                Mega Cable, S.A. de C.V                                                            
201.149.20.66        Mexico                Mexico City                                         Megacable Comunicaciones de Mexico, S.A. de C.V                                    
187.250.59.66        Mexico                Tijuana                                             Telefonos del Noroeste, S.A. de C.V                                                
201.116.234.170      Mexico                Mexico City                                         Gestión de direccionamiento UniNet                                                
186.96.30.42         Mexico                Guadalajara                                         Total Play Telecomunicaciones SA De CV                                             
177.244.40.66        Mexico                Ciénega de Flores                                  Mega Cable, S.A. de C.V                                                            
189.193.251.82       Mexico                Solidaridad                                         Mega Cable, S.A. de C.V                                                            
187.217.242.178      Mexico                Granadillas                                         UNINET                                                                             
187.218.232.50       Mexico                Colinas de Santa Cruz Segunda Sección              UNINET                                                                             
189.199.70.58        Mexico                Boca del Rio                                        Mega Cable, S.A. de C.V                                                            
200.94.131.231       Mexico                San Nicolas de los Garza                            Alestra, S. de R.L. de C.V                                                         
187.174.174.178      Mexico                San Sebastian [Fraccionamiento]                     UNINET                                                                             
187.210.97.226       Mexico                Granadillas                                         UNINET                                                                             
177.240.19.82        Mexico                Ecatepec                                            Mega Cable, S.A. de C.V                                                            
201.149.33.154       Mexico                Mexico City                                         Megacable Comunicaciones de Mexico, S.A. de C.V                                    
177.247.37.46        Mexico                Cocula                                              Mega Cable, S.A. de C.V                                                            
187.243.254.106      Mexico                Jardines del Grijalva                               Mega Cable, S.A. de C.V.                                                           
201.168.136.83       Mexico                Coyoacan                                            COORDINADORA DE CARRIER'S, S.A. DE C.V                                             
189.254.68.40        Mexico                Mexico City                                         Uninet S.A. de C.V                                                                 
200.52.93.98         Mexico                Mexico City                                         Megacable Comunicaciones de Mexico, S.A. de C.V                                    
177.240.26.138       Mexico                Teontepec                                           Mega Cable, S.A. de C.V                                                            
187.217.75.130       Mexico                Tlalnepantla                                        UNINET                                                                             
189.203.130.150      Mexico                Guadalajara                                         Total Play Telecomunicaciones SA De CV                                             
187.217.237.242      Mexico                Tondoroque                                          UNINET                                                                             
189.163.57.197       Mexico                Zapopan                                             Gestión de direccionamiento UniNet                                                
187.189.47.11        Mexico                Francisco I. Madero Municipality                    Total Play Telecomunicaciones SA De CV                                             
187.141.175.46       Mexico                Ciudad Juarez                                       UNINET                                                                             
187.188.154.238      Mexico                San José del Castillo                              Total Play Telecomunicaciones SA De CV                                             
187.195.145.36       Mexico                General Escobedo                                    UNINET                                                                             
200.76.179.42        Mexico                San Nicolas de los Garza                            Alestra, S. de R.L. de C.V                                                         
189.254.212.18       Mexico                Querétaro City                                     Uninet S.A. de C.V                                                                 
187.250.230.208      Mexico                Tijuana                                             Telefonos del Noroeste, S.A. de C.V                                                
187.248.64.114       Mexico                Poza Rica                                           IP Matrix, S.A. de C.V                                                             
189.158.30.140       Mexico                General Escobedo                                    Gestión de direccionamiento UniNet                                                
148.223.124.186      Mexico                Mexico City                                         UNINET                                                                             
189.159.135.242      Mexico                Monterrey                                           Gestión de direccionamiento UniNet                                                
177.244.29.202       Mexico                Tenancingo de Degollado                             Mega Cable, S.A. de C.V                                                            
201.168.136.81       Mexico                Coyoacan                                            COORDINADORA DE CARRIER'S, S.A. DE C.V                                             
201.150.32.74        Mexico                Mexico City                                         Servnet Mexico, S.A. de C.V                                                        
201.116.229.162      Mexico                León                                               Gestión de direccionamiento UniNet                                                
189.193.224.198      Mexico                San Lorenzo Axocomanitla                            Mega Cable, S.A. de C.V                                                            
200.76.31.130        Mexico                Huimanguillo                                        Alestra, S. de R.L. de C.V                                                         
187.174.171.97       Mexico                Morelia                                             UNINET                                                                             
201.164.155.50       Mexico                Culiacan                                            Mega Cable, S.A. de C.V                                                            
201.132.106.174      Mexico                Santa Cruz Ajajalpan                                Mega Cable, S.A. de C.V                                                            
187.177.83.28        Mexico                San Pedro                                           Axtel, S.A.B. de C.V                                                               
201.149.51.35        Mexico                Fraccionamiento Misión de San Javier               Megacable Comunicaciones de Mexico, S.A. de C.V                                    
187.251.108.73       Mexico                Chihuahua City                                      Total Play Telecomunicaciones SA De CV                                             
177.231.250.110      Mexico                Zapopan                                             Mega Cable, S.A. de C.V                                                            
189.192.132.178      Mexico                Tultitlan de Mariano Escobedo                       Mega Cable, S.A. de C.V                                                            
187.223.185.173      Mexico                La Paz                                              Uninet S.A. de C.V                                                                 
177.229.215.138      Mexico                Ciudad Nezahualcoyotl                               Mega Cable, S.A. de C.V                                                            
189.206.88.66        Mexico                San Nicolas de los Garza                            Alestra, S. de R.L. de C.V                                                         
201.163.216.82       Mexico                San Nicolas de los Garza                            Alestra, S. de R.L. de C.V                                                         
200.52.206.94        Mexico                Guadalajara                                         Mega Cable, S.A. de C.V                                                            
187.217.93.51        Mexico                Gustavo Adolfo Madero                               UNINET                                                                             
201.116.226.114      Mexico                Mexico City                                         Gestión de direccionamiento UniNet                                                
201.168.136.70       Mexico                Coyoacan                                            COORDINADORA DE CARRIER'S, S.A. DE C.V                                             
201.168.198.58       Mexico                Pénjamo                                            COORDINADORA DE CARRIER'S, S.A. DE C.V                                             
187.189.75.113       Mexico                Guadalupe                                           Total Play Telecomunicaciones SA De CV                                             
189.130.144.124      Mexico                Iztacalco                                           Gestión de direccionamiento UniNet                                                
189.210.106.146      Mexico                Monterrey                                           Axtel, S.A.B. de C.V                                                               
189.223.126.226      Mexico                Ladrillera Pescador                                 Telefonos del Noroeste, S.A. de C.V                                                
187.202.138.0        Mexico                alvaro Obregón                                     Uninet S.A. de C.V                                                                 
45.238.190.40        Mexico                Tepatitlan de Morelos                               Television POR Cable Tepa S.A De C.V                                               
201.131.124.162      Mexico                Guadalajara                                         HostDime.com.mx S.A. de C.V                                                        
201.168.209.178      Mexico                San Juan de los Lagos                               COORDINADORA DE CARRIER'S, S.A. DE C.V                                             
186.96.11.47         Mexico                Monterrey                                           Total Play Telecomunicaciones SA De CV                                             
201.140.110.66       Mexico                Ramos Arizpe                                        Operbes, S.A. de C.V                                                               
170.245.190.18       Mexico                Mexico City                                         Bicentel SA de CV                                                                  
187.188.176.25       Mexico                Alfredo V. Bonfil                                   Total Play Telecomunicaciones SA De CV                                             
187.188.214.24       Mexico                León                                               Total Play Telecomunicaciones SA De CV                                             
201.150.46.218       Mexico                Mexico City                                         Servnet Mexico, S.A. de C.V                                                        
187.251.129.198      Mexico                Guadalajara                                         Total Play Telecomunicaciones SA De CV                                             
187.237.130.246      Mexico                León                                               UNINET                                                                             
200.92.199.254       Mexico                Tlajomulco de Zúñiga                              Mega Cable, S.A. de C.V                                                            
200.23.18.58         Mexico                Torreón                                            Universidad Autonoma de la Laguna                                                  
177.229.214.246      Mexico                Ciudad Nezahualcoyotl                               Mega Cable, S.A. de C.V                                                            
187.155.75.154       Mexico                Mérida                                             Uninet S.A. de C.V.                                                                
189.187.58.79        Mexico                Lazaro Cardenas                                     Gestión de direccionamiento UniNet                                                
45.239.71.74         Mexico                Mexico City                                         Huus Vas, S.A. de C.V                                                              
177.242.139.38       Mexico                Atlacomulco de Fabela                               Mega Cable, S.A. de C.V                                                            
186.96.163.177       Mexico                Chihuahua City                                      Total Play Telecomunicaciones SA De CV                                             
187.223.201.97       Mexico                La Paz                                              Uninet S.A. de C.V                                                                 
187.188.212.108      Mexico                Guadalajara                                         Total Play Telecomunicaciones SA De CV                                             
201.132.200.110      Mexico                Torreón                                            Mega Cable, S.A. de C.V                                                            
200.94.57.210        Mexico                El Huarache                                         Alestra, S. de R.L. de C.V                                                         
187.141.49.158       Mexico                Naucalpan                                           UNINET                                                                             
177.240.11.2         Mexico                Celaya                                              Mega Cable, S.A. de C.V                                                            
187.188.232.68       Mexico                Ninguno [CERESO]                                    Total Play Telecomunicaciones SA De CV                                             
168.194.88.10        Mexico                Tijuana                                             Konecta de Mexico, S. de R.L. de C.V.                                              
200.188.17.82        Mexico                Cuautitlan                                          Axtel, S.A.B. de C.V                                                               
201.144.84.70        Mexico                Tultitlan de Mariano Escobedo                       Gestión de direccionamiento UniNet                                                
187.188.214.107      Mexico                León                                               Total Play Telecomunicaciones SA De CV                                             
200.76.13.106        Mexico                Santa Ana Chiautempan                               Alestra, S. de R.L. de C.V                                                         
200.76.134.34        Mexico                Durango                                             Alestra, S. de R.L. de C.V                                                         
201.116.80.66        Mexico                Gustavo Adolfo Madero                               Gestión de direccionamiento UniNet                                                
201.144.61.158       Mexico                Mexico City                                         Gestión de direccionamiento UniNet                                                
200.66.43.202        Mexico                Zamora                                              Mega Cable, S.A. de C.V                                                            
200.94.139.36        Mexico                Ciudad Victoria                                     Alestra, S. de R.L. de C.V                                                         
201.170.119.205      Mexico                Tijuana                                             Telefonos del Noroeste, S.A. de C.V                                                
200.57.13.76         Mexico                Pegueros                                            Internet del Centro S.A. de C.V.                                                   
201.168.127.22       Mexico                Soledad de Graciano Sanchez                         COORDINADORA DE CARRIER'S, S.A. DE C.V                                             
189.254.113.110      Mexico                Cuernavaca                                          Uninet S.A. de C.V                                                                 
200.92.199.98        Mexico                Tlajomulco de Zúñiga                              Mega Cable, S.A. de C.V                                                            
201.163.1.34         Mexico                Fraccionamiento Misión de San Javier               Alestra, S. de R.L. de C.V                                                         
181.191.245.134      Mexico                León                                               Coeficiente Comunicaciones                                                         
187.188.116.33       Mexico                Mexico City                                         Total Play Telecomunicaciones SA De CV                                             
187.210.229.18       Mexico                Nuevo Vallarta                                      UNINET                                                                             
177.240.2.14         Mexico                Guadalajara                                         Mega Cable, S.A. de C.V                                                            
189.199.20.198       Mexico                Ciudad Obregón                                     Mega Cable, S.A. de C.V                                                            
189.193.234.30       Mexico                Morelia                                             Mega Cable, S.A. de C.V                                                            
189.254.226.34       Mexico                Zacatecas City                                      Uninet S.A. de C.V                                                                 
189.254.153.234      Mexico                San Luis Potosi City                                Uninet S.A. de C.V                                                                 
189.193.240.22       Mexico                San Luis Potosi City                                Mega Cable, S.A. de C.V                                                            
189.194.93.194       Mexico                Xalapa                                              Mega Cable, S.A. de C.V                                                            
187.188.94.71        Mexico                Puebla City                                         Total Play Telecomunicaciones SA De CV                                             
170.247.225.54       Mexico                Tijuana                                             IP Matrix, S.A. de C.V                                                             
201.164.62.66        Mexico                Culiacan                                            Mega Cable, S.A. de C.V                                                            
177.247.37.150       Mexico                Cocula                                              Mega Cable, S.A. de C.V                                                            
148.244.234.26       Mexico                Huimanguillo                                        Alestra, S. de R.L. de C.V                                                         
187.189.10.26        Mexico                San Luis Potosi City                                Total Play Telecomunicaciones SA De CV                                             
189.254.177.229      Mexico                Reynosa                                             Uninet S.A. de C.V                                                                 
189.206.184.250      Mexico                San Nicolas de los Garza                            Alestra, S. de R.L. de C.V                                                         
189.161.149.150      Mexico                Teziutlan                                           Gestión de direccionamiento UniNet                                                
187.216.38.133       Mexico                Mexico City                                         UNINET                                                                             
200.77.147.2         Mexico                Toluca                                              SERVICIO Y EQUIPO EN TELEFONiA INTERNET Y TV S.A. DE C.V                           
200.94.146.210       Mexico                Nuevo Valle de Moreno                               Alestra, S. de R.L. de C.V                                                         
189.194.237.254      Mexico                León                                               Mega Cable, S.A. de C.V                                                            
201.174.64.53        Mexico                Mexicali                                            IP Matrix, S.A. de C.V                                                             
187.188.163.26       Mexico                Celaya                                              Total Play Telecomunicaciones SA De CV                                             
187.190.117.212      Mexico                Ciudad Juarez                                       Total Play Telecomunicaciones SA De CV                                             
187.188.141.60       Mexico                Guadalajara                                         Total Play Telecomunicaciones SA De CV                                             
187.217.4.194        Mexico                Mexico City                                         UNINET                                                                             
201.116.248.218      Mexico                San José del Potrero                               Gestión de direccionamiento UniNet                                                
200.94.63.154        Mexico                Benito Juarez                                       Alestra, S. de R.L. de C.V                                                         
177.240.0.4          Mexico                Temascalapa                                         Mega Cable, S.A. de C.V                                                            
189.240.12.18        Mexico                Mexico City                                         UNINET                                                                             
187.218.233.114      Mexico                Sergio Villaseñor                                  UNINET                                                                             
201.149.69.218       Mexico                Mexico City                                         Megacable Comunicaciones de Mexico, S.A. de C.V                                    
200.66.85.242        Mexico                Cuauhtémoc                                         Megacable Comunicaciones de Mexico, S.A. de C.V                                    
201.152.45.39        Mexico                San Luis Potosi City                                Gestión de direccionamiento UniNet                                                
187.188.114.207      Mexico                Mexico City                                         Total Play Telecomunicaciones SA De CV                                             
187.243.248.78       Mexico                Chibucú                                            Mega Cable, S.A. de C.V.                                                           
189.197.187.139      Mexico                Durango                                             Mega Cable, S.A. de C.V                                                            
187.157.158.102      Mexico                Yaxkukul                                            Uninet S.A. de C.V.                                                                
177.240.9.106        Mexico                Isla del Bosque                                     Mega Cable, S.A. de C.V                                                            
186.96.33.103        Mexico                Caucel                                              Total Play Telecomunicaciones SA De CV                                             
177.229.211.166      Mexico                Misantla                                            Mega Cable, S.A. de C.V                                                            
177.226.124.27       Mexico                Mazatlan                                            Mega Cable, S.A. de C.V                                                            
189.177.175.101      Mexico                Tepic                                               Gestión de direccionamiento UniNet                                                
187.189.96.162       Mexico                Puebla                                              Total Play Telecomunicaciones SA De CV                                             
201.174.62.226       Mexico                Mexicali                                            IP Matrix, S.A. de C.V                                                             
187.223.2.109        Mexico                La Paz                                              Uninet S.A. de C.V                                                                 
189.195.136.246      Mexico                Metepec                                             Mega Cable, S.A. de C.V                                                            
186.96.45.55         Mexico                Guadalupe                                           Total Play Telecomunicaciones SA De CV                                             
189.128.233.159      Mexico                Querétaro City                                     Gestión de direccionamiento UniNet                                                
189.152.14.31        Mexico                Monterrey                                           Gestión de direccionamiento UniNet                                                
189.195.144.82       Mexico                León                                               Mega Cable, S.A. de C.V                                                            
201.159.109.185      Mexico                Monterrey                                           Jose Miguel Macias Contreras                                                       
187.189.205.211      Mexico                Celaya                                              Total Play Telecomunicaciones SA De CV                                             
187.217.46.130       Mexico                Iztacalco                                           UNINET                                                                             
187.216.224.146      Mexico                Veracruz                                            UNINET                                                                             
177.229.209.48       Mexico                Misantla                                            Mega Cable, S.A. de C.V                                                            
187.157.165.50       Mexico                Alfredo V. Bonfil                                   Uninet S.A. de C.V.                                                                
201.165.86.67        Mexico                Culiacan                                            Mega Cable, S.A. de C.V                                                            
189.202.210.250      Mexico                Oxkutzcab                                           Operbes, S.A. de C.V                                                               
200.92.206.70        Mexico                Ciudad Obregón                                     Mega Cable, S.A. de C.V                                                            
187.141.227.114      Mexico                Saltillo                                            UNINET                                                                             
177.231.253.158      Mexico                Querétaro City                                     Mega Cable, S.A. de C.V                                                            
187.217.183.82       Mexico                Benito Juarez                                       UNINET                                                                             
187.213.30.106       Mexico                Zapopan                                             UNINET                                                                             
187.250.24.211       Mexico                Tijuana                                             Telefonos del Noroeste, S.A. de C.V                                                
189.206.50.130       Mexico                Miguel Hidalgo                                      Telecomunicaciones De Mexico                                                       
201.163.164.82       Mexico                Huixquilucan de Degollado                           Alestra, S. de R.L. de C.V                                                         
189.223.11.37        Mexico                Tijuana                                             Telefonos del Noroeste, S.A. de C.V                                                
201.151.46.66        Mexico                Zongolica                                           Alestra, S. de R.L. de C.V                                                         
138.185.2.123        Mexico                San Sebastian de Aparicio                           Telefonia por Cable, S.A. de C.V                                                   
189.194.95.82        Mexico                Navojoa                                             Mega Cable, S.A. de C.V                                                            
177.229.204.6        Mexico                Guadalajara                                         Mega Cable, S.A. de C.V                                                            
187.174.253.242      Mexico                Veracruz                                            UNINET                                                                             
189.254.237.30       Mexico                Morelia                                             Uninet S.A. de C.V                                                                 
148.244.71.84        Mexico                San Nicolas de los Garza                            Alestra, S. de R.L. de C.V                                                         
187.213.131.21       Mexico                Zapopan                                             UNINET                                                                             
186.96.18.189        Mexico                Ramos Arizpe                                        Total Play Telecomunicaciones SA De CV                                             
177.240.26.186       Mexico                Teontepec                                           Mega Cable, S.A. de C.V                                                            
201.132.84.170       Mexico                Zapopan                                             Mega Cable, S.A. de C.V                                                            
187.178.239.154      Mexico                San Pedro                                           Axtel, S.A.B. de C.V                                                               
201.147.242.178      Mexico                Mexico City                                         Gestión de direccionamiento UniNet                                                
187.199.181.195      Mexico                Cabo San Lucas                                      UNINET                                                                             
187.202.166.78       Mexico                Lomas de Vista Hermosa                              Uninet S.A. de C.V                                                                 
187.190.89.171       Mexico                Gustavo Adolfo Madero                               Total Play Telecomunicaciones SA De CV                                             
189.203.154.130      Mexico                Mexico City                                         Total Play Telecomunicaciones SA De CV                                             
189.193.225.2        Mexico                San Lorenzo Axocomanitla                            Mega Cable, S.A. de C.V                                                            
201.144.60.20        Mexico                Mexico City                                         Gestión de direccionamiento UniNet                                                
187.191.53.132       Mexico                Tijuana                                             Total Play Telecomunicaciones SA De CV                                             
45.190.197.233       Mexico                El Salto                                            Tecnianet S.A De C.V                                                               
189.203.177.165      Mexico                Sanctorum                                           Total Play Telecomunicaciones SA De CV                                             
189.144.13.247       Mexico                Gustavo Adolfo Madero                               Gestión de direccionamiento UniNet                                                
177.242.147.158      Mexico                Nativitas                                           Mega Cable, S.A. de C.V                                                            
189.195.136.218      Mexico                Metepec                                             Mega Cable, S.A. de C.V                                                            
187.205.120.157      Mexico                Ocotlan                                             UNINET                                                                             
189.203.213.5        Mexico                Coatzacoalcos                                       Total Play Telecomunicaciones SA De CV                                             
201.116.221.66       Mexico                Cortazar                                            Gestión de direccionamiento UniNet                                                
189.254.235.126      Mexico                Mexico City                                         Uninet S.A. de C.V                                                                 
201.116.206.2        Mexico                Mexico City                                         Gestión de direccionamiento UniNet                                                
189.181.222.172      Mexico                Tlajomulco de Zúñiga                              Gestión de direccionamiento UniNet                                                
187.188.159.41       Mexico                Aguascalientes                                      Total Play Telecomunicaciones SA De CV                                             
201.148.85.242       Mexico                Ciudad Satélite                                    Operbes, S.A. de C.V                                                               
177.247.39.118       Mexico                Monterrey                                           Mega Cable, S.A. de C.V                                                            
187.205.191.145      Mexico                Arandas                                             UNINET                                                                             
201.96.125.233       Mexico                Chihuahua City                                      Gestión de direccionamiento UniNet                                                
187.190.65.228       Mexico                Tijuana                                             Total Play Telecomunicaciones SA De CV                                             
187.216.137.237      Mexico                La Aldea                                            UNINET                                                                             
45.231.171.163       Mexico                Juarez                                              GigNet, S.A. de C.V                                                                
189.162.21.255       Mexico                León                                               Gestión de direccionamiento UniNet                                                
189.232.204.142      Mexico                Durango                                             Uninet S.A. de C.V.                                                                
187.188.213.109      Mexico                Tlalnelhuayocan                                     Total Play Telecomunicaciones SA De CV                                             
187.188.146.251      Mexico                La Tijera                                           Total Play Telecomunicaciones SA De CV                                             
201.148.60.154       Mexico                Coyoacan                                            Ventus Logistics, S.A. de C.V                                                      
189.202.220.74       Mexico                Llano Grande                                        Operbes, S.A. de C.V                                                               
148.235.80.18        Mexico                Irapuato                                            UNINET                                                                             
177.241.232.146      Mexico                León                                               Mega Cable, S.A. de C.V                                                            
177.244.43.210       Mexico                Querétaro City                                     Mega Cable, S.A. de C.V                                                            
187.174.174.211      Mexico                San Sebastian [Fraccionamiento]                     UNINET                                                                             
45.167.95.154        Mexico                La Cañada                                          Lantointernet SA De CV                                                             
187.174.180.234      Mexico                Aguascalientes                                      UNINET                                                                             
187.188.114.54       Mexico                Mexico City                                         Total Play Telecomunicaciones SA De CV                                             
201.168.136.66       Mexico                Coyoacan                                            COORDINADORA DE CARRIER'S, S.A. DE C.V                                             
201.218.172.120      Mexico                Parral                                              Mario Guerra Figueroa                                                              
189.144.13.253       Mexico                Gustavo Adolfo Madero                               Gestión de direccionamiento UniNet                                                
201.132.81.190       Mexico                Iztacalco                                           Mega Cable, S.A. de C.V                                                            
45.167.159.163       Mexico                Tehuacan                                            Multiservicios Para LA Industria Del Bajio S De RL De CV                           
187.157.156.130      Mexico                Cancún                                             Uninet S.A. de C.V.                                                                
201.157.17.50        Mexico                Santa Ana Nextlalpan                                IP Matrix, S.A. de C.V                                                             
177.244.36.158       Mexico                Culiacan                                            Mega Cable, S.A. de C.V                                                            
201.147.118.50       Mexico                Ciudad Nezahualcoyotl                               Gestión de direccionamiento UniNet                                                
201.148.193.18       Mexico                Apodaca                                             BT Latam Mexico, S.A. de C.V                                                       
187.235.152.131      Mexico                Toluca                                              UNINET                                                                             
189.163.77.151       Mexico                Zapopan                                             Gestión de direccionamiento UniNet                                                
189.223.6.127        Mexico                Tijuana                                             Telefonos del Noroeste, S.A. de C.V                                                
187.217.128.37       Mexico                Mexico City                                         UNINET                                                                             
189.176.15.165       Mexico                Puerto Morelos                                      Gestión de direccionamiento UniNet                                                
207.249.177.82       Mexico                León                                               Sistemas y Computadores de Gestión SA de CV                                       
201.116.202.98       Mexico                Irapuato                                            Uninet S.A. de C.V.                                                                
201.144.246.73       Mexico                Mexico City                                         Gestión de direccionamiento UniNet                                                
187.188.22.140       Mexico                Xalapa                                              Total Play Telecomunicaciones SA De CV                                             
187.188.136.115      Mexico                Apodaca                                             Total Play Telecomunicaciones SA De CV                                             
189.197.187.94       Mexico                Durango                                             Mega Cable, S.A. de C.V                                                            
